Report Number,Supplemental Number,Accident Date/Time,Operator ID,Pipeline Location,Pipeline Type,Liquid Type,Accident State,Cause Category,Cause Subcategory,Net Loss (Barrels),Shutdown Date/Time,All Costs
20100244,17856,2/4/2010 3:10 PM,22430,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",WI,NATURAL FORCE DAMAGE,TEMPERATURE,0.05,,4521
20100032,17394,2/6/2010 11:30 AM,22610,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KS,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,1.33,,4800
20100233,18026,2/8/2010 12:20 PM,31174,ONSHORE,UNDERGROUND,CRUDE OIL,LA,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",5.0,2/8/2010 12:21,380400
20100256,17808,2/9/2010 10:00 AM,15674,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,,950
20100253,17861,2/9/2010 3:25 PM,1845,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IN,NATURAL FORCE DAMAGE,TEMPERATURE,0.0,,5377
20100001,15751,2/16/2010 7:42 AM,22610,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IL,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,,30515
20100036,17417,2/17/2010 5:45 PM,22610,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KS,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,1514
20100004,19086,2/19/2010 6:50 AM,1845,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NJ,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,2/19/2010 6:52,17100
20100009,17618,2/20/2010 6:30 AM,18718,ONSHORE,UNDERGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,2.0,2/20/2010 6:35,93513
20100005,17663,2/21/2010 12:45 PM,300,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,0.0,,17485
20100003,18021,2/22/2010 10:38 AM,32035,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",TX,CORROSION,EXTERNAL,1.0,,26860
20100006,17891,2/22/2010 10:56 AM,31684,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",WA,INCORRECT OPERATION,INCORRECT VALVE POSITION,0.71,,8790
20100007,17296,2/23/2010 11:30 PM,32109,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IA,INCORRECT OPERATION,INCORRECT VALVE POSITION,28.0,,129007
20100008,19253,2/25/2010 4:50 AM,32109,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",OK,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,13718.0,2/25/2010 6:45,1599786
20100010,18409,2/25/2010 10:00 AM,2552,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NC,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,,15950
20100014,17569,3/1/2010 8:10 AM,12470,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,2.0,3/1/2010 8:12,16018
20100011,17630,3/1/2010 9:16 AM,15774,ONSHORE,ABOVEGROUND,CRUDE OIL,MN,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.0,3/1/2010 9:17,19080
20100002,19837,3/1/2010 11:50 AM,31672,ONSHORE,ABOVEGROUND,CO2 (CARBON DIOXIDE),KS,ALL OTHER CAUSES,MISCELLANEOUS,2.99,3/1/2010 11:51,3510
20100020,17733,3/3/2010 10:20 PM,31618,OFFSHORE,,CRUDE OIL,,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.5,,773
20100012,15228,3/4/2010 5:30 AM,2552,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.8,3/4/2010 5:30,65000
20100015,18518,3/4/2010 11:00 PM,4906,ONSHORE,ABOVEGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",LA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.31,3/4/2010 23:00,13594
20100013,17335,3/8/2010 11:01 AM,15156,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MO,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,1.0,,11287
20100061,17416,3/8/2010 11:30 AM,22610,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KS,NATURAL FORCE DAMAGE,TEMPERATURE,93.0,,85620
20100022,17722,3/9/2010 11:25 AM,18718,ONSHORE,UNDERGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.5,,5039
20100023,17723,3/9/2010 2:15 PM,18718,ONSHORE,UNDERGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.95,,26064
20100034,18573,3/11/2010 10:00 AM,11169,ONSHORE,UNDERGROUND,CRUDE OIL,WI,NATURAL FORCE DAMAGE,TEMPERATURE,0.0,,8060
20100035,17406,3/14/2010 10:04 PM,22610,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IA,NATURAL FORCE DAMAGE,OTHER NATURAL FORCE DAMAGE,70.0,3/14/2010 22:05,511550
20100043,17724,3/15/2010 9:30 AM,18718,ONSHORE,TANK,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.12,,765
20100019,17461,3/15/2010 10:00 AM,30829,ONSHORE,ABOVEGROUND,CRUDE OIL,NM,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,1160
20100039,15197,3/15/2010 3:55 PM,18718,ONSHORE,UNDERGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,0.6,3/15/2010 16:00,11497
20100042,15676,3/16/2010 11:10 AM,18092,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",CA,CORROSION,INTERNAL,42.88,3/16/2010 11:16,480000
20100041,18578,3/18/2010 3:30 PM,31947,ONSHORE,UNDERGROUND,CRUDE OIL,OK,CORROSION,EXTERNAL,0.0,3/18/2010 16:00,54000
20100048,17901,3/20/2010 12:03 PM,31325,ONSHORE,UNDERGROUND,CRUDE OIL,CA,CORROSION,INTERNAL,0.0,3/20/2010 12:53,16800
20100044,17525,3/21/2010 1:00 AM,31189,ONSHORE,ABOVEGROUND,CRUDE OIL,IL,MATERIAL/WELD/EQUIP FAILURE,DEFECTIVE OR LOOSE TUBING/FITTING,0.0,3/21/2010 8:45,158500
20100051,18935,3/22/2010 1:30 PM,31189,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,,106030
20100046,18410,3/23/2010 2:00 PM,2552,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LA,CORROSION,INTERNAL,0.0,,4773
20100050,17884,3/23/2010 6:30 PM,31684,ONSHORE,ABOVEGROUND,CRUDE OIL,LA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,3/23/2010 18:30,3520
20100049,18576,3/24/2010 8:00 AM,31947,ONSHORE,ABOVEGROUND,CRUDE OIL,OK,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,,1350
20100040,18002,3/24/2010 1:30 PM,15674,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,4215
20100054,15114,3/25/2010 1:42 PM,18779,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",PA,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,1.0,3/25/2010 18:00,100000
20100045,15592,3/25/2010 5:36 PM,31563,OFFSHORE,,CRUDE OIL,,OTHER OUTSIDE FORCE DAMAGE,OTHER OUTSIDE FORCE DAMAGE,5.7,3/26/2010 13:20,2201260
20100027,17896,3/26/2010 1:50 PM,31684,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.11,3/26/2010 13:50,30058
20100097,17728,3/27/2010 10:30 PM,5320,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",FL,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,95.0,,437000
20100055,17885,3/29/2010 10:15 AM,31684,ONSHORE,ABOVEGROUND,CRUDE OIL,LA,CORROSION,INTERNAL,0.0,3/29/2010 10:15,16130
20100059,17290,3/29/2010 6:45 PM,1845,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IL,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,0.0,3/29/2010 18:48,115290
20100058,16748,3/30/2010 2:00 PM,31618,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",MO,NATURAL FORCE DAMAGE,EARTH MOVEMENT,656.0,3/30/2010 14:07,110600
20100052,18411,3/31/2010 9:00 AM,2552,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",VA,NATURAL FORCE DAMAGE,TEMPERATURE,0.0,,123396
20100063,18179,4/3/2010 2:55 PM,31720,ONSHORE,ABOVEGROUND,CRUDE OIL,MO,CORROSION,INTERNAL,0.0,4/3/2010 14:56,189240
20100056,17412,4/5/2010 7:55 AM,22610,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",OK,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,,8012
20110155,17221,4/5/2010 9:10 AM,32483,ONSHORE,UNDERGROUND,CRUDE OIL,WY,INCORRECT OPERATION,PIPELINE/EQUIPMENT OVERPRESSURED,0.0,4/5/2010 9:10,4000000
20100065,17718,4/5/2010 11:00 PM,18718,ONSHORE,ABOVEGROUND,CRUDE OIL,OK,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,4/5/2010 23:00,7815
20100066,15557,4/5/2010 11:45 PM,2731,ONSHORE,UNDERGROUND,CRUDE OIL,LA,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,215.0,4/6/2010 1:57,13933600
20100028,17928,4/7/2010 1:46 AM,2730,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KY,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,4/7/2010 1:46,100504
20100060,18676,4/7/2010 10:45 AM,22610,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.0,,36590
20100064,15072,4/8/2010 6:58 PM,31684,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MO,NATURAL FORCE DAMAGE,TEMPERATURE,0.17,4/8/2010 18:58,27
20100062,17649,4/9/2010 2:00 PM,300,ONSHORE,TANK,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,,1780
20100075,15843,4/10/2010 6:40 PM,18718,ONSHORE,UNDERGROUND,CRUDE OIL,OK,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.02,4/10/2010 18:40,167904
20100069,17770,4/12/2010 4:36 PM,15674,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TN,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,31019
20100070,20491,4/13/2010 12:01 PM,19237,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",IN,INCORRECT OPERATION,OTHER INCORRECT OPERATION,0.0,,35229
20100077,18359,4/13/2010 12:25 PM,4805,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.0,,102969
20100076,18362,4/14/2010 11:30 AM,4906,ONSHORE,UNDERGROUND,CRUDE OIL,TX,CORROSION,INTERNAL,0.0,,5086
20100080,17428,4/15/2010 8:25 PM,4430,ONSHORE,TANK,CRUDE OIL,TX,CORROSION,INTERNAL,0.0,4/15/2010 20:25,20300
20100068,17803,4/16/2010 8:14 AM,19237,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MO,MATERIAL/WELD/EQUIP FAILURE,NON-THREADED CONNECTION FAILURE,0.0,,5000
20100149,17981,4/16/2010 9:35 AM,22855,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.12,,2509
20100081,21414,4/17/2010 7:00 PM,11169,ONSHORE,UNDERGROUND,CRUDE OIL,MN,MATERIAL/WELD/EQUIP FAILURE,MANUFACTURING-RELATED,1.0,4/17/2010 19:00,966350
20100085,17162,4/20/2010 2:56 PM,22610,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",MN,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,4/20/2010 14:56,142675
20100083,16118,4/23/2010 4:32 PM,31618,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",KS,EXCAVATION DAMAGE,PREVIOUS DAMAGE DUE TO EXCAVATION,1659.0,4/23/2010 16:39,575409
20100079,17966,4/24/2010 7:30 PM,32147,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",LA,OTHER OUTSIDE FORCE DAMAGE,VEHICLE NOT ENGAGED IN EXCAVATION,0.0,,47284
20100078,17957,4/25/2010 9:00 AM,32147,ONSHORE,ABOVEGROUND,CRUDE OIL,MI,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,12.0,4/25/2010 9:03,1103967
20100074,17408,4/26/2010 9:15 AM,22610,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",KS,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.75,,13110
20100096,17243,4/26/2010 10:18 AM,2731,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",ID,CORROSION,EXTERNAL,1.0,4/26/2010 10:20,92856
20100094,19217,4/26/2010 10:35 AM,12105,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",KS,MATERIAL/WELD/EQUIP FAILURE,MALFUNCTION OF CONTROL/RELIEF EQUIPMENT,2.0,4/26/2010 10:35,117653
20100088,18412,4/26/2010 12:00 PM,2552,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",GA,CORROSION,EXTERNAL,0.0,,28880
20100067,18607,4/27/2010 2:00 PM,30003,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.1,4/27/2010 16:00,78188
20100089,17493,4/28/2010 12:00 PM,31174,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,CORROSION,INTERNAL,0.6,,4575
20100098,15127,4/28/2010 12:55 PM,12105,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",IA,MATERIAL/WELD/EQUIP FAILURE,"CONSTRUCTION, INSTALLATION OR FABRICATION-RELATED",0.36,,32030
20100095,20271,4/29/2010 9:55 AM,32109,ONSHORE,UNDERGROUND,"HVL OR OTHER FLAMMABLE OR TOXIC FLUID, GAS",KS,EXCAVATION DAMAGE,THIRD PARTY EXCAVATION DAMAGE,770.0,4/29/2010 9:55,93627
20100099,17865,4/29/2010 5:20 PM,1845,ONSHORE,ABOVEGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NJ,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,23607
20100073,17802,4/30/2010 7:00 AM,19237,ONSHORE,TANK,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",TX,INCORRECT OPERATION,OVERFILL/OVERFLOW OF TANK/VESSEL/SUMP,0.05,,1800
20100104,18369,5/4/2010 10:10 PM,26134,ONSHORE,ABOVEGROUND,CRUDE OIL,CA,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,,18375
20100105,18324,5/7/2010 1:00 PM,26125,ONSHORE,UNDERGROUND,"REFINED AND/OR PETROLEUM PRODUCT (NON-HVL), LIQUID",NV,CORROSION,EXTERNAL,0.0,,39518
20100086,17994,5/10/2010 8:00 AM,31570,ONSHORE,ABOVEGROUND,CRUDE OIL,ND,MATERIAL/WELD/EQUIP FAILURE,PUMP OR PUMP-RELATED EQUIPMENT,0.0,5/10/2010 8:00,5100
20100092,15120,5/10/2010 6:00 PM,30829,ONSHORE,UNDERGROUND,CRUDE OIL,NM,CORROSION,EXTERNAL,1.52,,51100
20100108,17073,5/12/2010 10:10 AM,31555,ONSHORE,ABOVEGROUND,CO2 (CARBON DIOXIDE),TX,MATERIAL/WELD/EQUIP FAILURE,THREADED CONNECTION/COUPLING FAILURE,0.53,,823
20100112,17650,5/16/2010 12:00 AM,300,ONSHORE,ABOVEGROUND,CRUDE OIL,TX,MATERIAL/WELD/EQUIP FAILURE,OTHER EQUIPMENT FAILURE,0.0,5/16/2010 7:40,11375
